PWM (µs),Force (N),Stonefish (Floats)
1100,-93.6535075,-1.00
1104,-92.574776,-0.99
1108,-91.4960445,-0.99
1112,-90.3192465,-0.98
1116,-89.240515,-0.98
1120,-88.1617835,-0.97
1124,-87.083052,-0.97
1128,-85.906254,-0.96
1132,-84.8275225,-0.95
1136,-83.748791,-0.95
1140,-82.571993,-0.94
1144,-81.4932615,-0.94
1148,-80.41453,-0.93
1152,-79.237732,-0.92
1156,-77.9628675,-0.92
1160,-76.5899365,-0.91
1164,-75.315072,-0.90
1168,-74.138274,-0.90
1172,-72.961476,-0.89
1176,-71.784678,-0.88
1180,-70.60788,-0.88
1184,-69.431082,-0.87
1188,-68.254284,-0.86
1192,-67.077486,-0.86
1196,-65.8026215,-0.85
1200,-64.6258235,-0.84
1204,-63.350959,-0.83
1208,-62.174161,-0.83
1212,-60.8992965,-0.82
1216,-59.7224985,-0.81
1220,-58.5457005,-0.80
1224,-57.466969,-0.80
1228,-56.3882375,-0.79
1232,-55.309506,-0.78
1236,-54.132708,-0.77
1240,-53.0539765,-0.77
1244,-51.8771785,-0.76
1248,-50.798447,-0.75
1252,-49.621649,-0.74
1256,-48.444851,-0.73
1260,-47.268053,-0.73
1264,-46.1893215,-0.72
1268,-45.11059,-0.71
1272,-44.0318585,-0.70
1276,-42.953127,-0.69
1280,-41.8743955,-0.68
1284,-40.795664,-0.67
1288,-39.7169325,-0.67
1292,-38.638201,-0.66
1296,-37.5594695,-0.65
1300,-36.480738,-0.64
1304,-35.4020065,-0.63
1308,-34.323275,-0.62
1312,-33.2445435,-0.61
1316,-32.165812,-0.60
1320,-31.185147,-0.59
1324,-30.204482,-0.58
1328,-29.223817,-0.57
1332,-28.3412185,-0.56
1336,-27.45862,-0.55
1340,-26.5760215,-0.54
1344,-25.693423,-0.53
1348,-24.908891,-0.52
1352,-24.0262925,-0.51
1356,-23.143694,-0.50
1360,-22.359162,-0.49
1364,-21.57463,-0.48
1368,-20.790098,-0.47
1372,-20.005566,-0.46
1376,-19.221034,-0.45
1380,-18.436502,-0.44
1384,-17.65197,-0.43
1388,-16.7693715,-0.42
1392,-15.9848395,-0.40
1396,-15.298374,-0.40
1400,-15.102241,-0.39
1404,-14.2196425,-0.38
1408,-13.337044,-0.37
1412,-12.552512,-0.36
1416,-11.6699135,-0.35
1420,-10.8853815,-0.33
1424,-10.1008495,-0.32
1428,-9.3163175,-0.31
1432,-8.629852,-0.30
1436,-7.84532,-0.28
1440,-7.1588545,-0.27
1444,-6.472389,-0.26
1448,-5.7859235,-0.25
1452,-5.1975245,-0.23
1456,-4.511059,-0.22
1460,-3.8245935,-0.21
1464,-3.2361945,-0.20
1468,-2.549729,-0.19
1472,-1.8632635,-0.17
1476,-1.2748645,-0.16
1480,-0.756464,-0.15
1484,-0.4654644,-0.14
1488,0,0.00
1492,0,0.00
1496,0,0.00
1500,0,0.00
1504,0,0.00
1508,0,0.00
1512,0,0.00
1516,1.0,0.14
1520,1.723524,0.15
1524,2.549729,0.16
1528,3.4323275,0.17
1532,4.2168595,0.18
1536,5.099458,0.19
1540,5.9820565,0.21
1544,6.7665885,0.22
1548,7.649187,0.23
1552,8.433719,0.24
1556,9.3163175,0.25
1560,10.198916,0.27
1564,11.0815145,0.28
1568,12.160246,0.29
1572,13.140911,0.30
1576,14.2196425,0.31
1580,15.298374,0.33
1584,16.475172,0.34
1588,17.65197,0.35
1592,18.828768,0.36
1596,20.005566,0.37
1600,21.2804305,0.38
1604,22.555295,0.39
1608,23.732093,0.40
1612,24.908891,0.41
1616,26.1837555,0.42
1620,27.3605535,0.43
1624,28.635418,0.44
1628,29.9102825,0.45
1632,31.0870805,0.46
1636,32.2638785,0.47
1640,33.538743,0.48
1644,34.715541,0.49
1648,35.9904055,0.50
1652,37.26527,0.51
1656,38.638201,0.52
1660,39.9130655,0.53
1664,41.18793,0.54
1668,42.560861,0.55
1672,43.8357255,0.56
1676,45.306723,0.57
1680,46.7777205,0.58
1684,48.248718,0.59
1688,49.817782,0.59
1692,51.386846,0.60
1696,52.95591,0.61
1700,54.6230405,0.62
1704,56.290171,0.63
1708,57.859235,0.64
1712,59.5263655,0.65
1716,61.193496,0.66
1720,62.8606265,0.67
1724,64.527757,0.67
1728,66.1948875,0.68
1732,67.7639515,0.69
1736,69.431082,0.70
1740,71.196279,0.71
1744,72.8634095,0.72
1748,74.6286065,0.72
1752,76.3938035,0.73
1756,78.1590005,0.74
1760,79.9241975,0.75
1764,81.6893945,0.76
1768,83.4545915,0.76
1772,85.2197885,0.77
1776,86.9849855,0.78
1780,88.652116,0.79
1784,90.5153795,0.79
1788,92.2805765,0.80
1792,94.14384,0.81
1796,96.0071035,0.82
1800,97.870367,0.82
1804,99.831697,0.83
1808,101.793027,0.84
1812,103.558224,0.85
1816,105.4214875,0.85
1820,107.284751,0.86
1824,109.049948,0.87
1828,110.9132115,0.87
1832,112.8745415,0.88
1836,114.8358715,0.89
1840,116.699135,0.90
1844,118.7585315,0.90
1848,120.621795,0.91
1852,122.583125,0.92
1856,124.348322,0.92
1860,126.0154525,0.93
1864,127.878716,0.94
1868,129.7419795,0.94
1872,131.5071765,0.95
1876,133.2723735,0.95
1880,135.135637,0.96
1884,136.900834,0.97
1888,138.666031,0.97
1892,140.5292945,0.98
1896,142.2944915,0.99
1900,144.0596885,0.99
